Designator,Mid X,Mid Y,Rotation,Layer
C1,159.75,-90.45,0.0,bottom
C4,165.865,-85.25,180.0,bottom
C5,155.1975,-85.9,180.0,bottom
C6,163.605,-85.25,180.0,bottom
C7,165.385,-89.86,90.0,bottom
U1,158.99,-87.21,0.0,bottom
U2,164.735,-87.36,90.0,bottom
